combined_code,incident_code_xyz,retro_code_xyz,mismatched_path_count,pair_centered,origin_effective_field_zero,origin_force_equilibrium,centered_origin_equilibrium,origin_force_norm_n,origin_effective_field_proxy_magnitude_g,origin_total_trapping_intensity_w_per_m2,origin_reference_scalar_transition_shift_hz,origin_reference_vector_transition_shift_hz,origin_reference_tensor_transition_shift_hz,origin_reference_total_transition_shift_hz,origin_reference_effective_cooling_detuning_hz,position_jacobian_signature,origin_position_classification,velocity_classification,dynamic_linearization_classification,origin_force_x_n,origin_effective_field_proxy_x_t,origin_force_y_n,origin_effective_field_proxy_y_t,origin_force_z_n,origin_effective_field_proxy_z_t,dFx_dx_n_per_m,dFx_dvx_n_s_per_m,dFx_dy_n_per_m,dFx_dvy_n_s_per_m,dFx_dz_n_per_m,dFx_dvz_n_s_per_m,dFy_dx_n_per_m,dFy_dvx_n_s_per_m,dFy_dy_n_per_m,dFy_dvy_n_s_per_m,dFy_dz_n_per_m,dFy_dvz_n_s_per_m,dFz_dx_n_per_m,dFz_dvx_n_s_per_m,dFz_dy_n_per_m,dFz_dvy_n_s_per_m,dFz_dz_n_per_m,dFz_dvz_n_s_per_m,position_eigenvalue_0_real_n_per_m,position_eigenvalue_0_imaginary_n_per_m,position_eigenvalue_1_real_n_per_m,position_eigenvalue_1_imaginary_n_per_m,position_eigenvalue_2_real_n_per_m,position_eigenvalue_2_imaginary_n_per_m,velocity_eigenvalue_0_real_n_s_per_m,velocity_eigenvalue_0_imaginary_n_s_per_m,velocity_eigenvalue_1_real_n_s_per_m,velocity_eigenvalue_1_imaginary_n_s_per_m,velocity_eigenvalue_2_real_n_s_per_m,velocity_eigenvalue_2_imaginary_n_s_per_m
++++++,+++,+++,0,True,True,True,True,1.503898085083264e-36,0.0,30797.97463491441,-16339691.429122167,0.0,4.331163404506403e-09,-16339691.429122163,1339691.429122163,saddle,saddle,anti_damping,position_saddle_and_anti_damping,0.0,0.0,0.0,0.0,-1.503898085083264e-36,0.0,5.418284834539444e-19,4.351611790678335e-22,0.0,0.0,0.0,0.0,0.0,0.0,5.418284834539452e-19,4.351611790655759e-22,0.0,0.0,0.0,0.0,0.0,0.0,-5.418284834539459e-19,4.3273817364099175e-22,5.418284834539444e-19,0.0,5.418284834539452e-19,0.0,-5.418284834539459e-19,0.0,4.351611790678335e-22,0.0,4.351611790655759e-22,0.0,4.3273817364099175e-22,0.0
+++++-,+++,++-,1,False,False,False,False,8.091485103258105e-22,10.000010304571042,30797.97463491441,-16339691.429122167,13996041.51540146,4.331163404506403e-09,-2343649.913720703,-12656350.086279297,marginal_or_unresolved,not_a_centered_origin_equilibrium,damping,not_applicable_origin_not_equilibrium,0.0,0.0,0.0,0.0,8.091485103258105e-22,-0.0010000010304571042,2.4139896390072463e-19,-7.324558382777488e-23,0.0,0.0,0.0,0.0,0.0,0.0,2.413989639001602e-19,-7.324558382739872e-23,0.0,0.0,0.0,0.0,-9.4039548065783e-32,0.0,0.0,-8.575124857836558e-23,0.0,0.0,2.4139896390072463e-19,0.0,2.413989639001602e-19,0.0,-7.324558382777488e-23,0.0,-7.324558382739872e-23,0.0,-8.575124857836558e-23,0.0
++++-+,+++,+-+,1,False,False,False,False,8.091485103258116e-22,10.000010304571042,30797.97463491441,-16339691.429122167,13996041.51540146,4.331163404506403e-09,-2343649.913720703,-12656350.086279297,saddle,not_a_centered_origin_equilibrium,damping,not_applicable_origin_not_equilibrium,0.0,0.0,-8.091485103258116e-22,-0.0010000010304571042,0.0,0.0,2.413989639003481e-19,-7.324558382702183e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.575124857855366e-23,-3.76158192263132e-31,0.0,0.0,0.0,0.0,0.0,-2.413989638999721e-19,-7.432509880050112e-23,2.413989639003481e-19,0.0,0.0,0.0,-2.413989638999721e-19,0.0,-7.324558382702183e-23,0.0,-8.575124857855366e-23,0.0,-7.432509880050112e-23,0.0
++++--,+++,+--,2,False,False,False,False,5.713052583660615e-22,14.142150196595072,30797.97463491441,-16339691.429122167,19793391.730617628,-2.1655817022532015e-09,3453700.30149546,-18453700.30149546,marginal_or_unresolved,not_a_centered_origin_equilibrium,anti_damping,not_applicable_origin_not_equilibrium,0.0,0.0,-4.0397382231817464e-22,-0.0010000010304571042,4.0397382231817464e-22,-0.0010000010304571042,9.409046097003261e-20,1.4963307622193136e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.387080307738806e-23,0.0,-2.2631244945904767e-24,0.0,0.0,0.0,-2.263124495342793e-24,0.0,4.38708030770119e-23,9.409046097003261e-20,0.0,0.0,0.0,0.0,0.0,4.1607678582233346e-23,0.0,4.6133927572166615e-23,0.0,1.4963307622193136e-23,0.0
+++-++,+++,-++,1,False,False,False,False,8.091485103258124e-22,10.000010304571042,30797.97463491441,-16339691.429122167,13996041.51540146,4.331163404506403e-09,-2343649.913720703,-12656350.086279297,saddle,not_a_centered_origin_equilibrium,damping,not_applicable_origin_not_equilibrium,-8.091485103258124e-22,-0.0010000010304571042,0.0,0.0,0.0,0.0,0.0,-8.575124857930598e-23,-9.4039548065783e-32,3.76158192263132e-34,0.0,0.0,0.0,0.0,2.413989639003483e-19,-7.324558382739872e-23,0.0,0.0,0.0,0.0,0.0,0.0,-2.4139896389978386e-19,-7.432509880050148e-23,0.0,0.0,2.413989639003483e-19,0.0,-2.4139896389978386e-19,0.0,-8.575124857930598e-23,0.0,-7.324558382739872e-23,0.0,-7.432509880050148e-23,0.0
+++-+-,+++,-+-,2,False,False,False,False,5.713052583660594e-22,14.142150196595072,30797.97463491441,-16339691.429122167,19793391.730617628,-2.1655817022532015e-09,3453700.30149546,-18453700.30149546,marginal_or_unresolved,not_a_centered_origin_equilibrium,anti_damping,not_applicable_origin_not_equilibrium,-4.0397382231817314e-22,-0.0010000010304571042,0.0,0.0,4.0397382231817314e-22,-0.0010000010304571042,0.0,4.3870803076635743e-23,0.0,-7.52316384526264e-34,0.0,-2.263124494966635e-24,0.0,0.0,9.409046096965645e-20,1.4963307621816978e-23,0.0,0.0,0.0,-2.2631244942143185e-24,0.0,7.52316384526264e-34,0.0,4.3870803076635743e-23,0.0,0.0,9.409046096965645e-20,0.0,0.0,0.0,4.1607678582045267e-23,0.0,4.613392757122622e-23,0.0,1.4963307621816978e-23,0.0
+++--+,+++,--+,2,False,False,False,False,5.713052583660615e-22,14.142150196595072,30797.97463491441,-16339691.429122167,19793391.730617628,-2.1655817022532015e-09,3453700.30149546,-18453700.30149546,marginal_or_unresolved,not_a_centered_origin_equilibrium,anti_damping,not_applicable_origin_not_equilibrium,-4.0397382231817464e-22,-0.0010000010304571042,-4.0397382231817464e-22,-0.0010000010304571042,0.0,0.0,0.0,4.38708030770119e-23,0.0,2.263124494966635e-24,-1.88079096131566e-31,0.0,0.0,2.2631244938381603e-24,0.0,4.387080307776422e-23,-1.88079096131566e-31,0.0,0.0,0.0,0.0,0.0,-9.409046096946782e-20,1.4542543986320502e-23,0.0,0.0,0.0,0.0,-9.409046096946782e-20,0.0,4.613392757179046e-23,0.0,4.160767858298566e-23,0.0,1.4542543986320502e-23,0.0
+++---,+++,---,3,False,False,False,False,3.713720369026385e-22,17.32052592372937,30797.97463491441,-16339691.429122167,24241855.009518635,0.0,7902163.580396467,-22902163.580396466,marginal_or_unresolved,not_a_centered_origin_equilibrium,anti_damping,not_applicable_origin_not_equilibrium,-2.1441174547523796e-22,-0.0010000010304571042,-2.1441174547523796e-22,-0.0010000010304571042,2.1441174547523796e-22,-0.0010000010304571042,0.0,4.52292898349796e-23,0.0,4.924848823534151e-26,0.0,-4.924848821183162e-26,0.0,4.924848823534151e-26,0.0,4.5229289835355757e-23,0.0,-4.924848821183162e-26,0.0,-4.9248487859183315e-26,0.0,-4.924848748302512e-26,0.0,4.522928983422728e-23,0.0,0.0,0.0,0.0,0.0,0.0,4.532778681093305e-23,0.0,4.5180041346592994e-23,0.0,4.518004134703658e-23,0.0
++-+++,++-,+++,1,False,False,False,False,8.091485103258105e-22,10.000010304571042,30797.97463491441,-16339691.429122167,13996041.51540146,4.331163404506403e-09,-2343649.913720703,-12656350.086279297,marginal_or_unresolved,not_a_centered_origin_equilibrium,damping,not_applicable_origin_not_equilibrium,0.0,0.0,0.0,0.0,-8.091485103258105e-22,0.0010000010304571042,2.4139896389997265e-19,-7.324558382777488e-23,0.0,0.0,0.0,0.0,0.0,0.0,2.4139896389997193e-19,-7.324558382739872e-23,0.0,0.0,0.0,0.0,9.4039548065783e-32,0.0,0.0,-8.575124857836558e-23,0.0,0.0,2.4139896389997265e-19,0.0,2.4139896389997193e-19,0.0,-7.324558382777488e-23,0.0,-7.324558382739872e-23,0.0,-8.575124857836558e-23,0.0
++-++-,++-,++-,0,True,True,True,True,1.503898085083264e-36,0.0,30797.97463491441,-16339691.429122167,0.0,4.331163404506403e-09,-16339691.429122163,1339691.429122163,anti_restoring,anti_restoring,anti_damping,position_anti_restoring_and_anti_damping,0.0,0.0,0.0,0.0,-1.503898085083264e-36,0.0,5.418284834539444e-19,4.351611790678335e-22,0.0,0.0,0.0,0.0,0.0,0.0,5.418284834539452e-19,4.351611790655759e-22,0.0,0.0,0.0,0.0,0.0,0.0,5.418284834539459e-19,4.351611790663304e-22,5.418284834539444e-19,0.0,5.418284834539452e-19,0.0,5.418284834539459e-19,0.0,4.351611790678335e-22,0.0,4.351611790655759e-22,0.0,4.351611790663304e-22,0.0
++-+-+,++-,+-+,2,False,False,False,False,5.713052583660615e-22,14.142150196595072,30797.97463491441,-16339691.429122167,19793391.730617628,-2.1655817022532015e-09,3453700.30149546,-18453700.30149546,marginal_or_unresolved,not_a_centered_origin_equilibrium,anti_damping,not_applicable_origin_not_equilibrium,0.0,0.0,-4.0397382231817464e-22,-0.0010000010304571042,-4.0397382231817464e-22,0.0010000010304571042,9.409046097003261e-20,1.496330762219387e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.387080307738806e-23,0.0,2.2631244942143185e-24,0.0,0.0,0.0,2.263124495342793e-24,0.0,4.387080307776422e-23,9.409046097003261e-20,0.0,0.0,0.0,0.0,0.0,4.6133927572354694e-23,0.0,4.160767858279758e-23,0.0,1.496330762219387e-23,0.0
++-+--,++-,+--,1,False,False,False,False,8.091485103258116e-22,10.000010304571042,30797.97463491441,-16339691.429122167,13996041.51540146,4.331163404506403e-09,-2343649.913720703,-12656350.086279297,marginal_or_unresolved,not_a_centered_origin_equilibrium,damping,not_applicable_origin_not_equilibrium,0.0,0.0,-8.091485103258116e-22,-0.0010000010304571042,0.0,0.0,2.413989639003481e-19,-7.324558382702183e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.575124857855366e-23,3.76158192263132e-31,1.88079096131566e-34,0.0,0.0,0.0,0.0,2.413989638999721e-19,-7.324558382777488e-23,2.413989639003481e-19,0.0,0.0,0.0,2.413989638999721e-19,0.0,-7.324558382702183e-23,0.0,-8.575124857855366e-23,0.0,-7.324558382777488e-23,0.0
++--++,++-,-++,2,False,False,False,False,5.713052583660583e-22,14.142150196595072,30797.97463491441,-16339691.429122167,19793391.730617628,-2.1655817022532015e-09,3453700.30149546,-18453700.30149546,marginal_or_unresolved,not_a_centered_origin_equilibrium,anti_damping,not_applicable_origin_not_equilibrium,-4.039738223181724e-22,-0.0010000010304571042,0.0,0.0,-4.039738223181724e-22,0.0010000010304571042,0.0,4.38708030770119e-23,0.0,-3.76158192263132e-34,0.0,2.2631244945904767e-24,0.0,0.0,9.409046097003261e-20,1.4963307621816978e-23,0.0,0.0,0.0,2.263124494966635e-24,0.0,-3.76158192263132e-34,0.0,4.3870803076635743e-23,0.0,0.0,9.409046097003261e-20,0.0,0.0,0.0,4.613392757160238e-23,0.0,4.1607678582045267e-23,0.0,1.4963307621816978e-23,0.0
++--+-,++-,-+-,1,False,False,False,False,8.091485103258124e-22,10.000010304571042,30797.97463491441,-16339691.429122167,13996041.51540146,4.331163404506403e-09,-2343649.913720703,-12656350.086279297,marginal_or_unresolved,not_a_centered_origin_equilibrium,damping,not_applicable_origin_not_equilibrium,-8.091485103258124e-22,-0.0010000010304571042,0.0,0.0,0.0,0.0,0.0,-8.575124857930598e-23,-9.4039548065783e-32,3.76158192263132e-34,0.0,1.88079096131566e-34,0.0,0.0,2.413989639003483e-19,-7.324558382739872e-23,0.0,0.0,0.0,0.0,0.0,0.0,2.4139896389978386e-19,-7.324558382815104e-23,0.0,0.0,2.413989639003483e-19,0.0,2.4139896389978386e-19,0.0,-8.575124857930598e-23,0.0,-7.324558382739872e-23,0.0,-7.324558382815104e-23,0.0
++---+,++-,--+,3,False,False,False,False,3.713720369026385e-22,17.32052592372937,30797.97463491441,-16339691.429122167,24241855.009518635,0.0,7902163.580396467,-22902163.580396466,marginal_or_unresolved,not_a_centered_origin_equilibrium,anti_damping,not_applicable_origin_not_equilibrium,-2.1441174547523796e-22,-0.0010000010304571042,-2.1441174547523796e-22,-0.0010000010304571042,-2.1441174547523796e-22,0.0010000010304571042,0.0,4.5229289835355757e-23,0.0,4.924848858798981e-26,0.0,4.92484886114997e-26,0.0,4.924848821183162e-26,0.0,4.52292898349796e-23,0.0,4.92484886114997e-26,0.0,4.924848858798981e-26,0.0,4.924848821183162e-26,0.0,4.5229289835731915e-23,0.0,0.0,0.0,0.0,0.0,0.0,4.532778681229664e-23,0.0,4.518004134688532e-23,1.8261118527310296e-34,4.518004134688532e-23,-1.8261118527310296e-34
++----,++-,---,2,False,False,False,False,5.713052583660615e-22,14.142150196595072,30797.97463491441,-16339691.429122167,19793391.730617628,-2.1655817022532015e-09,3453700.30149546,-18453700.30149546,marginal_or_unresolved,not_a_centered_origin_equilibrium,anti_damping,not_applicable_origin_not_equilibrium,-4.0397382231817464e-22,-0.0010000010304571042,-4.0397382231817464e-22,-0.0010000010304571042,0.0,0.0,0.0,4.38708030770119e-23,0.0,2.263124494966635e-24,1.88079096131566e-31,0.0,0.0,2.2631244938381603e-24,0.0,4.387080307776422e-23,1.88079096131566e-31,0.0,0.0,0.0,0.0,0.0,9.409046096946782e-20,1.4963307621817345e-23,0.0,0.0,0.0,0.0,9.409046096946782e-20,0.0,4.613392757179046e-23,0.0,4.160767858298566e-23,0.0,1.4963307621817345e-23,0.0
+-++++,+-+,+++,1,False,False,False,False,8.091485103258116e-22,10.000010304571042,30797.97463491441,-16339691.429122167,13996041.51540146,4.331163404506403e-09,-2343649.913720703,-12656350.086279297,saddle,not_a_centered_origin_equilibrium,damping,not_applicable_origin_not_equilibrium,0.0,0.0,8.091485103258116e-22,0.0010000010304571042,0.0,0.0,2.4139896389997265e-19,-7.324558382702183e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.575124857855366e-23,1.88079096131566e-31,0.0,0.0,0.0,0.0,0.0,-2.41398963899596e-19,-7.432509880050112e-23,2.4139896389997265e-19,0.0,0.0,0.0,-2.41398963899596e-19,0.0,-7.324558382702183e-23,0.0,-8.575124857855366e-23,0.0,-7.432509880050112e-23,0.0
+-+++-,+-+,++-,2,False,False,False,False,5.713052583660615e-22,14.142150196595072,30797.97463491441,-16339691.429122167,19793391.730617628,-2.1655817022532015e-09,3453700.30149546,-18453700.30149546,marginal_or_unresolved,not_a_centered_origin_equilibrium,anti_damping,not_applicable_origin_not_equilibrium,0.0,0.0,4.0397382231817464e-22,0.0010000010304571042,4.0397382231817464e-22,-0.0010000010304571042,9.409046097003261e-20,1.4963307622193136e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.387080307738806e-23,0.0,2.2631244942143185e-24,0.0,0.0,0.0,2.2631244945904767e-24,0.0,4.387080307738806e-23,9.409046097003261e-20,0.0,0.0,0.0,0.0,0.0,4.613392757179046e-23,0.0,4.160767858298566e-23,0.0,1.4963307622193136e-23,0.0
+-++-+,+-+,+-+,0,True,True,True,True,1.503898085083264e-36,0.0,30797.97463491441,-16339691.429122167,0.0,4.331163404506403e-09,-16339691.429122163,1339691.429122163,saddle,saddle,anti_damping,position_saddle_and_anti_damping,0.0,0.0,0.0,0.0,-1.503898085083264e-36,0.0,5.418284834539444e-19,4.351611790678335e-22,0.0,0.0,0.0,0.0,0.0,0.0,-5.418284834539452e-19,4.327381736409911e-22,0.0,0.0,0.0,0.0,0.0,0.0,-5.418284834539459e-19,4.3273817364099175e-22,5.418284834539444e-19,0.0,-5.418284834539452e-19,0.0,-5.418284834539459e-19,0.0,4.351611790678335e-22,0.0,4.327381736409911e-22,0.0,4.3273817364099175e-22,0.0
+-++--,+-+,+--,1,False,False,False,False,8.091485103258105e-22,10.000010304571042,30797.97463491441,-16339691.429122167,13996041.51540146,4.331163404506403e-09,-2343649.913720703,-12656350.086279297,saddle,not_a_centered_origin_equilibrium,damping,not_applicable_origin_not_equilibrium,0.0,0.0,0.0,0.0,8.091485103258105e-22,-0.0010000010304571042,2.4139896390072463e-19,-7.324558382777488e-23,0.0,0.0,0.0,0.0,0.0,0.0,-2.413989639001602e-19,-7.432509880087691e-23,0.0,0.0,0.0,0.0,9.4039548065783e-32,1.88079096131566e-34,0.0,-8.575124857836558e-23,0.0,0.0,2.4139896390072463e-19,0.0,-2.413989639001602e-19,0.0,-8.575124857836558e-23,0.0,-7.324558382777488e-23,0.0,-7.432509880087691e-23,0.0
+-+-++,+-+,-++,2,False,False,False,False,5.713052583660615e-22,14.142150196595072,30797.97463491441,-16339691.429122167,19793391.730617628,-2.1655817022532015e-09,3453700.30149546,-18453700.30149546,marginal_or_unresolved,not_a_centered_origin_equilibrium,anti_damping,not_applicable_origin_not_equilibrium,-4.0397382231817464e-22,-0.0010000010304571042,4.0397382231817464e-22,0.0010000010304571042,0.0,0.0,0.0,4.3870803076635743e-23,0.0,-2.2631244945904767e-24,1.88079096131566e-31,0.0,0.0,-2.2631244938381603e-24,0.0,4.387080307738806e-23,-1.88079096131566e-31,0.0,0.0,0.0,0.0,0.0,-9.409046096927993e-20,1.4542543986320502e-23,0.0,0.0,0.0,0.0,-9.409046096927993e-20,0.0,4.160767858279758e-23,0.0,4.613392757122622e-23,0.0,1.4542543986320502e-23,0.0
+-+-+-,+-+,-+-,3,False,False,False,False,3.713720369026398e-22,17.32052592372937,30797.97463491441,-16339691.429122167,24241855.009518635,0.0,7902163.580396467,-22902163.580396466,marginal_or_unresolved,not_a_centered_origin_equilibrium,anti_damping,not_applicable_origin_not_equilibrium,-2.144117454752387e-22,-0.0010000010304571042,2.144117454752387e-22,0.0010000010304571042,2.144117454752387e-22,-0.0010000010304571042,0.0,4.5229289835355757e-23,0.0,-4.924848823534151e-26,0.0,-4.924848821183162e-26,0.0,-4.924848823534151e-26,0.0,4.52292898349796e-23,0.0,4.924848823534151e-26,0.0,-4.92484886114997e-26,0.0,4.924848748302512e-26,0.0,4.522928983422728e-23,0.0,0.0,0.0,0.0,0.0,0.0,4.5327786811191696e-23,0.0,4.518004134668548e-23,7.339563057951988e-35,4.518004134668548e-23,-7.339563057951988e-35
+-+--+,+-+,--+,1,False,False,False,False,8.091485103258124e-22,10.000010304571042,30797.97463491441,-16339691.429122167,13996041.51540146,4.331163404506403e-09,-2343649.913720703,-12656350.086279297,marginal_or_unresolved,not_a_centered_origin_equilibrium,damping,not_applicable_origin_not_equilibrium,-8.091485103258124e-22,-0.0010000010304571042,0.0,0.0,0.0,0.0,0.0,-8.575124857930598e-23,-9.4039548065783e-32,-3.76158192263132e-34,0.0,0.0,0.0,0.0,-2.413989639003483e-19,-7.432509880087655e-23,0.0,0.0,0.0,0.0,0.0,0.0,-2.4139896389978386e-19,-7.432509880050148e-23,0.0,0.0,-2.413989639003483e-19,0.0,-2.4139896389978386e-19,0.0,-8.575124857930598e-23,0.0,-7.432509880087655e-23,0.0,-7.432509880050148e-23,0.0
+-+---,+-+,---,2,False,False,False,False,5.713052583660594e-22,14.142150196595072,30797.97463491441,-16339691.429122167,19793391.730617628,-2.1655817022532015e-09,3453700.30149546,-18453700.30149546,marginal_or_unresolved,not_a_centered_origin_equilibrium,anti_damping,not_applicable_origin_not_equilibrium,-4.0397382231817314e-22,-0.0010000010304571042,0.0,0.0,4.0397382231817314e-22,-0.0010000010304571042,0.0,4.3870803076635743e-23,0.0,3.76158192263132e-34,0.0,-2.263124494966635e-24,0.0,0.0,-9.409046096965645e-20,1.4542543987449343e-23,0.0,0.0,0.0,-2.2631244942143185e-24,0.0,-3.76158192263132e-34,0.0,4.3870803076635743e-23,0.0,0.0,-9.409046096965645e-20,0.0,0.0,0.0,4.1607678582045267e-23,0.0,4.613392757122622e-23,0.0,1.4542543987449343e-23,0.0
+--+++,+--,+++,2,False,False,False,False,5.713052583660615e-22,14.142150196595072,30797.97463491441,-16339691.429122167,19793391.730617628,-2.1655817022532015e-09,3453700.30149546,-18453700.30149546,marginal_or_unresolved,not_a_centered_origin_equilibrium,anti_damping,not_applicable_origin_not_equilibrium,0.0,0.0,4.0397382231817464e-22,0.0010000010304571042,-4.0397382231817464e-22,0.0010000010304571042,9.409046097003261e-20,1.4963307622193136e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.387080307738806e-23,0.0,-2.2631244938381603e-24,0.0,0.0,0.0,-2.2631244945904767e-24,0.0,4.3870803076259585e-23,9.409046097003261e-20,0.0,0.0,0.0,0.0,0.0,4.1607678582609504e-23,0.0,4.613392757103814e-23,0.0,1.4963307622193136e-23,0.0
+--++-,+--,++-,1,False,False,False,False,8.091485103258116e-22,10.000010304571042,30797.97463491441,-16339691.429122167,13996041.51540146,4.331163404506403e-09,-2343649.913720703,-12656350.086279297,marginal_or_unresolved,not_a_centered_origin_equilibrium,damping,not_applicable_origin_not_equilibrium,0.0,0.0,8.091485103258116e-22,0.0010000010304571042,0.0,0.0,2.4139896389997265e-19,-7.324558382702183e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.575124857855366e-23,-1.88079096131566e-31,-1.88079096131566e-34,0.0,0.0,0.0,0.0,2.41398963899596e-19,-7.324558382777488e-23,2.4139896389997265e-19,0.0,0.0,0.0,2.41398963899596e-19,0.0,-7.324558382702183e-23,0.0,-8.575124857855366e-23,0.0,-7.324558382777488e-23,0.0
+--+-+,+--,+-+,1,False,False,False,False,8.091485103258105e-22,10.000010304571042,30797.97463491441,-16339691.429122167,13996041.51540146,4.331163404506403e-09,-2343649.913720703,-12656350.086279297,saddle,not_a_centered_origin_equilibrium,damping,not_applicable_origin_not_equilibrium,0.0,0.0,0.0,0.0,-8.091485103258105e-22,0.0010000010304571042,2.4139896389997265e-19,-7.324558382777488e-23,0.0,0.0,0.0,0.0,0.0,0.0,-2.4139896389997193e-19,-7.432509880087691e-23,0.0,0.0,0.0,0.0,-9.4039548065783e-32,-1.88079096131566e-34,0.0,-8.575124857836558e-23,0.0,0.0,2.4139896389997265e-19,0.0,-2.4139896389997193e-19,0.0,-8.575124857836558e-23,0.0,-7.324558382777488e-23,0.0,-7.432509880087691e-23,0.0
+--+--,+--,+--,0,True,True,True,True,1.503898085083264e-36,0.0,30797.97463491441,-16339691.429122167,0.0,4.331163404506403e-09,-16339691.429122163,1339691.429122163,saddle,saddle,anti_damping,position_saddle_and_anti_damping,0.0,0.0,0.0,0.0,-1.503898085083264e-36,0.0,5.418284834539444e-19,4.351611790678335e-22,0.0,0.0,0.0,0.0,0.0,0.0,-5.418284834539452e-19,4.327381736409911e-22,0.0,0.0,0.0,0.0,0.0,0.0,5.418284834539459e-19,4.351611790663304e-22,5.418284834539444e-19,0.0,-5.418284834539452e-19,0.0,5.418284834539459e-19,0.0,4.351611790678335e-22,0.0,4.327381736409911e-22,0.0,4.351611790663304e-22,0.0
